LGA,Venue Count,Avg Frequency,Total Capacity,Avg Capacity,Frequency Mode
Alpine Shire Council,30,1.9833333333333334,6856.0,228.53333333333333,Hosts functions
Ararat Rural City Council,8,0.35,2607.0,325.875,Hosts functions
Ballarat City Council,71,2.1253521126760564,18514.0,260.76056338028167,Hosts functions
Banyule City Council,17,1.6764705882352942,5474.0,322.0,Hosts functions
Bass Coast Shire Council,38,1.5815789473684212,8139.0,214.18421052631578,Hosts functions
Baw Baw Shire Council,34,1.1029411764705883,9711.0,285.61764705882354,Hosts functions
Bayside City Council,29,1.396551724137931,5004.0,172.55172413793105,Hosts functions
Benalla Rural City Council,3,0.06666666666666667,500.0,166.66666666666666,No Data
Boroondara City Council,16,2.29375,5220.0,326.25,Hosts functions
Brimbank City Council,26,1.0961538461538463,11442.0,440.0769230769231,Hosts functions
Buloke Shire Council,16,0.3125,1846.0,115.375,Less than 1 a month
Campaspe Shire Council,37,1.8918918918918919,6740.0,182.16216216216216,Less than 1 a month
Cardinia Shire Council,26,1.2576923076923079,7411.0,285.03846153846155,Hosts functions
Casey City Council,14,1.3214285714285714,8198.0,585.5714285714286,Hosts functions
Central Goldfields Shire Council,7,1.5714285714285714,2771.0,395.85714285714283,Hosts functions
Colac-Otway Shire Council,19,1.9789473684210528,3786.0,199.26315789473685,Hosts functions
Corangamite Shire Council,15,1.1333333333333333,3050.0,203.33333333333334,Hosts functions
Darebin City Council,63,3.86031746031746,22212.0,352.57142857142856,Hosts functions
East Gippsland Shire Council,51,0.7313725490196078,9423.0,184.76470588235293,Hosts functions
Frankston City Council,21,3.0571428571428574,8689.0,413.76190476190476,Hosts functions
Gannawarra Shire Council,8,0.825,1477.0,184.625,Hosts functions
Glen Eira City Council,24,1.4416666666666667,6998.0,291.5833333333333,Hosts functions
Glenelg Shire Council,21,1.2476190476190476,3677.0,175.0952380952381,Hosts functions
Golden Plains Shire Council,6,0.39999999999999997,326.0,54.333333333333336,No Data
Greater Bendigo City Council,80,2.295,23164.0,289.55,Hosts functions
Greater Dandenong City Council,17,1.0588235294117647,7866.0,462.70588235294116,Hosts functions
Greater Geelong City Council,132,1.837878787878788,45204.0,342.45454545454544,Hosts functions
Greater Shepparton City Council,30,1.7666666666666666,6170.0,205.66666666666666,Less than 1 a month
Hepburn Shire Council,20,1.55,7929.0,396.45,Hosts functions
Hindmarsh Shire Council,8,0.4625,1072.0,134.0,Hosts functions
Hobsons Bay City Council,30,2.49,8353.0,278.43333333333334,Hosts functions
Horsham Rural City Council,18,0.8833333333333333,4680.0,260.0,Hosts functions
Hume City Council,19,1.894736842105263,5596.0,294.5263157894737,Hosts functions
Indigo Shire Council,16,1.36875,6015.0,375.9375,No Data
Kingston City Council,36,1.213888888888889,7879.0,218.86111111111111,Hosts functions
Knox City Council,23,2.3304347826086955,12418.0,539.9130434782609,Hosts functions
Latrobe City Council,39,1.3025641025641026,13955.0,357.8205128205128,Hosts functions
Loddon Shire Council,12,1.2750000000000001,1869.0,155.75,Hosts functions
Macedon Ranges Shire Council,26,0.7230769230769231,5464.0,210.15384615384616,Hosts functions
Manningham City Council,15,0.43333333333333335,4931.0,328.73333333333335,Hosts functions
Mansfield Shire Council,19,1.3789473684210527,6359.0,334.6842105263158,Hosts functions
Maribyrnong City Council,41,2.1609756097560973,10069.0,245.58536585365854,Hosts functions
Maroondah City Council,19,3.473684210526316,7375.0,388.1578947368421,Hosts functions
Melbourne City Council,230,3.000434782608696,168257.0,731.5521739130435,1 or more a week
Melton City Council,5,2.2,1417.0,283.4,1 or more a week
Merri-Bek City Council,76,3.9921052631578946,18882.0,248.44736842105263,Hosts functions
Mildura Rural City Council,27,2.088888888888889,7344.0,272.0,Hosts functions
Mitchell Shire Council,22,1.1681818181818182,5517.0,250.77272727272728,Hosts functions
Moira Shire Council,20,0.915,4679.0,233.95,Less than 1 a month
Monash City Council,26,1.1615384615384614,11858.0,456.0769230769231,Hosts functions
Moonee Valley City Council,33,2.003030303030303,8885.0,269.24242424242425,Hosts functions
Moorabool Shire Council,17,1.7294117647058822,2619.0,154.05882352941177,Hosts functions
Mornington Peninsula Shire Council,83,1.7072289156626506,30239.0,364.32530120481925,Hosts functions
Mount Alexander Shire Council,20,2.71,2603.0,130.15,Less than 1 a month
Moyne Shire Council,19,1.5,2983.0,157.0,Hosts functions
Murrindindi Shire Council,15,3.2666666666666666,3833.0,255.53333333333333,Hosts functions
Nillumbik Shire Council,11,3.790909090909091,2533.0,230.27272727272728,1 or more a week
Northern Grampians Shire Council,15,0.48666666666666664,2050.0,136.66666666666666,Hosts functions
Port Phillip City Council,91,3.3000000000000003,29627.0,325.57142857142856,Hosts functions
Pyrenees Shire Council,11,0.8545454545454546,1318.0,119.81818181818181,Hosts functions
Queenscliffe Borough Council,9,1.0555555555555556,830.0,92.22222222222223,Hosts functions
South Gippsland Shire Council,23,0.8347826086956521,3581.0,155.69565217391303,Hosts functions
Southern Grampians Shire Council,16,0.63125,2771.0,173.1875,Hosts functions
Stonnington City Council,82,3.381707317073171,19956.0,243.3658536585366,Hosts functions
Strathbogie Shire Council,12,0.20833333333333334,2235.0,186.25,Less than 1 a month
Surf Coast Shire Council,28,2.0535714285714284,11173.0,399.0357142857143,Hosts functions
Swan Hill Rural City Council,10,1.5000000000000002,3568.0,356.8,Less than 1 a month
Towong Shire Council,9,2.466666666666667,1736.0,192.88888888888889,Hosts functions
Wangaratta Rural City Council,5,3.2,453.0,90.6,No Data
Warrnambool City Council,16,2.725,5996.0,374.75,Hosts functions
Wellington Shire Council,30,1.3533333333333333,6087.0,202.9,Hosts functions
West Wimmera Shire Council,3,0.39999999999999997,618.0,206.0,Hosts functions
Whitehorse City Council,14,1.1357142857142857,8372.0,598.0,Hosts functions
Whittlesea City Council,11,2.036363636363636,6956.0,632.3636363636364,Hosts functions
Wodonga City Council,10,3.13,3780.0,378.0,Less than 1 a month
Wyndham City Council,23,1.7695652173913046,8796.0,382.4347826086956,Hosts functions
Yarra City Council,141,3.9553191489361703,32841.0,232.91489361702128,Hosts functions
Yarra Ranges Shire Council,70,1.6600000000000001,25151.0,359.3,Hosts functions
Yarriambiack Shire Council,8,1.3,1062.0,132.75,Hosts functions
